ID,Weapon_Name,Country_of_Origin,Manufacturer,Category,Subcategory,Year_Introduced,Year_Retired,Service_Status,Caliber,Action_Type,Effective_Range_m,Max_Range_m,Weight_kg,Length_mm,Barrel_Length_mm,Muzzle_Velocity_mps,Rate_of_Fire_rpm,Magazine_Capacity,Warhead_Weight_kg,Max_Speed_kmh,Crew_Size,Unit_Cost_USD,Num_Operator_Nations,Primary_Users,NATO_Compatible,Generation,Theater_of_Operation,Export_Status,Combat_Proven,Propulsion_Type,Guidance_System,Communication_System,Operating_Environment,Protection_Level,Notes
1,M4A1 Carbine,USA,Colt/FN Herstal,Small Arm,Assault Rifle,1994,,Active,5.56x45mm NATO,Gas-operated short stroke piston,500,800,2.88,838,370,910,700,30,,,1,1200,41,US Army/USMC/80+ nations,Yes,3rd,Land,Widely Exported,Yes,Gas-operated piston,Iron sights/Aimpoint/ACOG,Link 16 datalink,Urban,Composite + ERA,"Standard US military carbine; over 500,000 in service"
2,M16A4,USA,FN Herstal,Small Arm,Assault Rifle,1985,,Active,5.56x45mm NATO,Gas-operated direct impingement,550,900,3.26,1006,508,945,800,30,,,1,700,8,USMC/30+ nations,Yes,3rd,Land,Exported,Yes,Gas-operated direct impingement,Iron sights/Optical scope,VHF radio,All-terrain,No armor,Service rifle of USMC; longer barrel for accuracy
3,XM5 SIG MCX Spear,USA,SIG Sauer,Small Arm,Assault Rifle,2022,,Active,6.8x51mm,Gas-operated short stroke piston,600,1000,3.63,889,330,945,600,20,,,1,2500,2,US Army NGSW,No,4th,Land,Limited Export,Yes,Gas-operated short stroke piston,Thermal + Image intensifier,Software Defined Radio,All-terrain,No armor,Next Gen Squad Weapon; new 6.8mm cartridge defeats body armor
4,M249 SAW,USA,FN Herstal,Small Arm,Light Machine Gun,1984,,Active,5.56x45mm NATO,Gas-operated long stroke piston,800,1000,7.5,1041,521,915,850,Belt,,,1,4000,18,US Military/40+ nations,Yes,3rd,Land,Widely Exported,Yes,Gas-operated long stroke piston,Optical scope,VHF radio,All-terrain,No armor,Squad Automatic Weapon; 200-round soft pack
5,M240B,USA,FN Herstal,Small Arm,General Purpose Machine Gun,1977,,Active,7.62x51mm NATO,Gas-operated long stroke piston,800,1800,12.5,1260,630,853,650,Belt,,,1,6600,16,US Military/NATO allies,Yes,3rd,Land,Exported,Yes,Gas-operated long stroke piston,Iron sights/Optical scope,VHF radio,All-terrain,No armor,Primary US GPMG; vehicle and dismounted roles
6,M2HB Browning,USA,General Dynamics,Support Weapon,Heavy Machine Gun,1933,,Active,12.7x99mm .50 BMG,Short recoil operated,1800,6800,38.0,1654,1143,895,450,Belt,,,1,14000,15,US Military/100+ nations,Yes,2nd,Land,Widely Exported,Yes,N/A,Iron sights,VHF radio,All-terrain,No armor,Longest-serving US weapon; vehicle/tripod/aircraft mount
7,M107 LRSR,USA,Barrett Firearms,Small Arm,Anti-Materiel Rifle,2002,,Active,12.7x99mm .50 BMG,Semi-automatic gas,1800,2000,14.75,1448,737,853,,10,,,1,12000,9,US Military/30+ nations,Yes,3rd,Land,Exported,Yes,Semi-automatic gas,Night Vision Goggles (NVG) compatible,VHF radio,Desert,No armor,Long Range Sniper Rifle; counter-materiel and EOD
8,M110 SASS,USA,Knight's Armament,Small Arm,Sniper Rifle,2008,,Active,7.62x51mm NATO,Semi-automatic gas,800,1200,6.94,1029,508,783,,20,,,1,22000,7,US Army/USMC,Yes,3rd,Land,Limited Export,Yes,Semi-automatic gas,Thermal sight,VHF radio,All-terrain,No armor,Semi-auto sniper; 800m precision engagement
9,FGM-148 Javelin,USA,Raytheon/Lockheed Martin,Anti-Tank,Top-Attack ATGM,1996,,Active,127mm,Fire-and-forget IR,2500,4000,22.3,1200,,,,1,8.4,,1,178000,44,USA/20+ nations,Yes,3rd,Land,Exported,Yes,Solid rocket motor,Electro-optical/IR FLIR,BFT Blue Force Tracking,All-terrain,No armor,Top-attack capable; famous in Ukraine; 5000+ Moskva kills
10,FIM-92 Stinger,USA,Raytheon,Air Defense,MANPADS,1981,,Active,70mm,IR heat-seeking dual-waveband,,4800,15.7,1520,,,,1,3.0,720,1,38000,35,USA/29+ nations,Yes,3rd,Land,Widely Exported,Yes,Solid rocket motor,IR homing,IFF Mode 4/5,All-terrain,No armor,Man-portable air defense; supplied to Ukraine/Afghan Muj
